problem,path,repeat,order_position,method,status,rows,columns,nonzeros,presolve,presolve_status,threads,tolerance,internal_tolerance,time_limit,rho,delta,rf,start_projection,start_bound_fraction,start_linear_tolerance,read_seconds,setup_seconds,solve_seconds,postsolve_seconds,total_seconds,process_seconds,iterations,outer_iterations,inner_iterations,factor_seconds,linear_solve_seconds,objective,primal_infeasibility,dual_infeasibility,canonical_rows,canonical_columns,canonical_nonzeros,active_columns,preconditioner_core_min,preconditioner_core_mean,preconditioner_core_max,preconditioner_refreshes,preconditioner_factorizations,preconditioner_retained_mean,preconditioner_symbolic_analyses,preconditioner_retries,preconditioner_full,preconditioner_condition_max,preconditioner_spectral_error_max,preconditioner_lag_bound_max,preconditioner_core_swaps,residual_replacements,residual_checks,krylov_stagnations,minres_fallbacks,minres_iterations,krylov_breakdowns,krylov_iteration_limits,pcg_iterations,pcg_max_iterations,pcg_failures,low_rank_columns,low_rank_candidate_edges,peak_memory_mb,timing_consistent,solver_version,model_status,run_status,error
datt256,/iridisfs/scratch/sc9c23/mps/datt256.mps.gz,0,1,highs-hipo,optimal,11077,262144,1503732,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,2.376044489443302,0.26436770148575306,32.4495356194675,0.03346578776836395,35.12403233535588,35.43824341520667,37,,,,,255.999999401143,5.156676149055544e-07,2.6645352591003757e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.75,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
datt256,/iridisfs/scratch/sc9c23/mps/datt256.mps.gz,0,2,psipm-ssp,optimal,11077,262144,1503732,off,off,1,1e-06,7.071067811865475e-07,5000.0,,,1.0,legacy,0.001,,2.3616971988230944,0.1463510263711214,36.68435523658991,0.007766852155327797,39.20031659118831,39.506084786728024,,13,12,9.819631544873118,25.837677398696542,256.0000003676136,4.2094553145429957e-07,1.4346947175315494e-08,11077,262144,1503732,33231,11077,26341.045454545456,33231,12,18,0.9952731491594217,12,4,False,23766459.585566398,16419.09987484703,100000000.0,1493,0,59,0,0,0,0,10,4619,400,9,0,0,423.62890625,True,psipm-spectral-stable-preconditioner-2,,,
datt256,/iridisfs/scratch/sc9c23/mps/datt256.mps.gz,0,3,highs-ipx,optimal,11077,262144,1503732,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,2.339077699929476,0.2620396036654711,129.62706600502133,0.03270077519118786,132.2612567115575,132.5651040431112,17,,,,,256.00000045827875,1.1020048147417032e-07,7.105427357601002e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.28125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
datt256_lp,/iridisfs/scratch/sc9c23/mps/datt256_lp.mps,0,1,psipm-ssp,optimal,11077,262144,1503732,off,off,1,1e-06,7.071067811865475e-07,5000.0,,,1.0,legacy,0.001,,2.207101758569479,0.148662481456995,37.12553045526147,0.007695376873016357,39.489138623699546,39.80154904909432,,13,12,10.3874522279948,25.695157080888748,256.0000003676136,4.2094553145429957e-07,1.4346947175315494e-08,11077,262144,1503732,33231,11077,26341.045454545456,33231,12,18,0.9952731491594217,12,4,False,23766459.585566398,16419.09987484703,100000000.0,1493,0,59,0,0,0,0,10,4619,400,9,0,0,429.87109375,True,psipm-spectral-stable-preconditioner-2,,,
datt256_lp,/iridisfs/scratch/sc9c23/mps/datt256_lp.mps,0,2,highs-ipx,optimal,11077,262144,1503732,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,2.181662166491151,0.2564952839165926,129.17213148623705,0.03301318921148777,131.64365184307098,131.94830881617963,17,,,,,256.00000045827875,1.1020048147417032e-07,7.105427357601002e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.8203125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
datt256_lp,/iridisfs/scratch/sc9c23/mps/datt256_lp.mps,0,3,highs-hipo,optimal,11077,262144,1503732,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,2.2003388181328773,0.2595104016363621,32.36752497404814,0.03313981741666794,34.86104315146804,35.38312169909477,37,,,,,255.999999401143,5.156676149055544e-07,2.6645352591003757e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.1953125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
dlr1,/iridisfs/scratch/sc9c23/mps/dlr1.mps,0,1,highs-ipx,unknown,1735470,9142907,18365107,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,30.063259741291404,4.486183812841773,3087.3457400966436,1.2783866301178932,3123.1739491820335,3123.534268129617,5,,,,,2.979679602003336e+16,2.8199376544007833,983.670392862535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5376.38671875,True,1.15.1,HighsModelStatus.kUnknown,HighsStatus.kWarning,
dlr1,/iridisfs/scratch/sc9c23/mps/dlr1.mps,0,2,highs-hipo,optimal,1735470,9142907,18365107,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,30.90467334166169,4.442168273031712,3759.788469636813,1.2989714425057173,3796.434858266264,3797.025575282052,94,,,,,2707106.949074414,3.656168469827917e-09,1.9602339307311922e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9808.6328125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
dlr1,/iridisfs/scratch/sc9c23/mps/dlr1.mps,0,3,psipm-ssp,time-limit,1735470,9142907,18365107,off,off,1,1e-06,1e-07,5000.0,,,1.0,legacy,0.001,,30.529718190431595,24.673528101295233,5060.215934211388,0.29186856001615524,5115.711214791983,5116.0396391525865,,1,48,3454.247588643804,1343.252174731344,6459572.739542439,24.480162325804642,0.255570343263571,1735470,9910970,19133170,1735470,1735470,1735470.0,1735470,7,18,0.9961213471196356,7,0,False,712378.254185684,17571.79825076837,100000000.0,47119,0,216,0,0,0,0,0,2657,169,0,0,0,21007.57421875,True,psipm-spectral-stable-preconditioner-2,,,
ds-big,/iridisfs/scratch/sc9c23/mps/ds-big.mps.gz,0,1,highs-hipo,optimal,1042,174997,4623442,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,4.6956328228116035,0.6777479238808155,41.58114185370505,0.02800387144088745,46.983104357495904,47.52839993685484,76,,,,,86.8200741918336,6.382986728059592e-08,1.6307538197772792e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.4609375,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
