problem,path,repeat,rows,columns,nonzeros,presolve,threads,tolerance,time_limit,psipm_status,psipm_total_seconds,psipm_solve_seconds,psipm_objective,psipm_primal_infeasibility,psipm_dual_infeasibility,psipm_relative_gap,psipm_outer_iterations,psipm_inner_iterations,psipm_pcg_iterations,psipm_pcg_failures,psipm_factor_seconds,psipm_linear_solve_seconds,psipm_structure,psipm_preconditioner,psipm_peak_memory_mb,psipm_timing_consistent,ipx_status,ipx_total_seconds,ipx_solve_seconds,ipx_objective,ipx_primal_infeasibility,ipx_dual_infeasibility,ipx_iterations,ipx_peak_memory_mb,hipo_status,hipo_total_seconds,hipo_solve_seconds,hipo_objective,hipo_primal_infeasibility,hipo_dual_infeasibility,hipo_iterations,hipo_peak_memory_mb,v3_speedup_vs_ipx,v3_speedup_vs_hipo
L2CTA3D,/iridisfs/scratch/sc9c23/mps/L2CTA3D.mps,0,210000,10000000,30000000,off,1,1e-06,5000.0,optimal,3530.204658884555,3460.850072853267,-5498028516889.703,1.6657354892567607e-08,8.471038670214857e-07,5.442678034098171e-10,74,2827,2827,0,2412.2413321249187,527.8342448901385,generic-sparse,stable-active-column,9927.5546875,True,infeasible,1018.8215561769903,942.9576983805746,-5497893263267.412,1.8485641555973173e-09,2.8483285539710696e-10,13,7617.53125,HighsModelStatus.kNotset,1273.9500386435539,1198.9361540284008,0.0,nan,nan,-1,12333.14453125,,
datt256,/iridisfs/scratch/sc9c23/mps/datt256.mps.gz,0,11077,262144,1503732,off,1,1e-06,5000.0,optimal,324.9548022635281,322.5923801306635,255.99999999860884,3.3531953380627755e-08,3.419479998584371e-14,2.7116970137912222e-12,63,45001,45001,29,25.944440703839064,287.1707799099386,generic-sparse,stable-active-column,1052.5390625,True,optimal,130.9579887278378,128.36203743703663,256.00000045827875,1.1020048147417032e-07,7.105427357601002e-15,17,304.0234375,optimal,34.75572560168803,32.144035467877984,255.999999401143,5.156676149055544e-07,2.6645352591003757e-15,37,437.26953125,0.40300370333236374,0.10695556846549456
datt256_lp,/iridisfs/scratch/sc9c23/mps/datt256_lp.mps,0,11077,262144,1503732,off,1,1e-06,5000.0,optimal,327.6395257432014,325.4359935875982,255.99999999860884,3.3531953380627755e-08,3.419479998584371e-14,2.7116970137912222e-12,63,45001,45001,29,26.01073935814202,289.9847092460841,generic-sparse,stable-active-column,1051.52734375,True,optimal,130.13556545972824,127.65922618843615,256.00000045827875,1.1020048147417032e-07,7.105427357601002e-15,17,304.4375,optimal,34.66237610206008,32.16605366021395,255.999999401143,5.156676149055544e-07,2.6645352591003757e-15,37,436.8828125,0.3971912887022258,0.10579424452356184
dlr1,/iridisfs/scratch/sc9c23/mps/dlr1.mps,0,1735470,9142907,18365107,off,1,1e-06,5000.0,external-timeout,5000.0,,,,,,,,,,,,,,,,unknown,3069.971938347444,3034.383416172117,2.979679602003336e+16,2.8199376544007833,983.670392862535,5,5403.01171875,optimal,3783.099419871345,3747.4466634765267,2707106.949074414,3.656168469827917e-09,1.9602339307311922e-07,94,9805.7421875,,
ds-big,/iridisfs/scratch/sc9c23/mps/ds-big.mps.gz,0,1042,174997,4623442,off,1,1e-06,5000.0,optimal,96.60329130664468,91.9095517154783,86.8200871834636,6.845759794593675e-07,5.202604825987064e-10,2.1797581030073335e-07,81,1173,1173,1,61.879148392006755,16.882446222007275,generic-sparse,stable-active-column,1386.78125,True,optimal,164.03631684929132,158.68429454043508,86.82007154712252,1.1081915940458487e-09,6.176785858747653e-12,71,538.828125,optimal,46.2246413230896,40.89317222125828,86.8200741918336,6.382986728059592e-08,1.6307538197772792e-15,76,740.5859375,1.6980406633206335,0.4784996525259189
ds,/iridisfs/scratch/sc9c23/mps/ds.mps.gz,0,656,67732,1024059,off,1,1e-06,5000.0,postsolve-inaccurate,8.293480340391397,7.407813003286719,57.234627143547925,8.957793085073718e-08,4.95100173661587e-11,1.0700204952026317e-06,53,1,1,0,4.275215869769454,0.5091923493891954,generic-sparse,stable-active-column,242.2734375,True,optimal,13.595360228791833,12.569542847573757,57.23456529271912,4.883482507267445e-12,1.1509871529591256e-15,44,173.6640625,optimal,6.654056392610073,5.63968831859529,57.23456950640014,2.537064039964676e-07,1.534649537278834e-15,37,223.5234375,,
ivu06-big,/iridisfs/scratch/sc9c23/mps/ivu06-big.mps.gz,0,1177,2277736,23125770,off,1,1e-06,5000.0,optimal,2866.113910716027,2840.2977870684117,135.4277179753356,8.199952863940929e-07,3.612810312486471e-12,6.88167043359127e-10,168,38796,38796,18,12.80096030794084,2541.637682473287,generic-sparse,stable-active-column,3948.6015625,True,optimal,2094.8514100685716,2065.39827346988,135.4277185254628,4.145250809273193e-11,4.0536216358886025e-12,121,2395.453125,optimal,298.8552792519331,268.64865303225815,135.427719850949,7.732130713478114e-09,5.695240640043114e-15,67,4355.39453125,0.730903053865443,0.10427194750862905
ivu06,/iridisfs/scratch/sc9c23/mps/ivu06.mps.gz,0,1177,787239,8032303,off,1,1e-06,5000.0,optimal,168.5543418880552,159.5927784908563,135.9014793146253,1.3382960994956505e-07,5.99792377696632e-10,9.014692637222291e-07,104,0,0,0,90.21990526281297,8.875751135870814,generic-sparse,stable-active-column,1669.890625,True,optimal,412.5202454999089,402.0842953361571,135.90135718955656,1.9430285158605898e-10,1.9270560456005923e-11,91,915.0703125,optimal,106.46683085337281,96.22891828976572,135.90135310271745,1.7696287768487196e-09,9.373153963749521e-15,50,1553.25,2.447402071516395,0.6316469196864855
ivu59,/iridisfs/scratch/sc9c23/mps/ivu59.mps,0,3436,2569996,36186332,off,1,1e-06,5000.0,time-limit,5010.094736820087,4994.657699799165,816.7077057883153,0.13850496975930415,7.015592694306051e-06,0.03977191434533223,437,36531,36531,0,404.8212730884552,3703.4915471710265,generic-sparse,stable-active-column,7885.52734375,True,time-limit,5001.202173059806,4980.417098136619,891.413009227122,4.888311977424564e-13,1.1842378929335002e-15,94,3536.33984375,optimal,558.0601150430739,536.5549565646797,884.4570871209793,6.571321709003541e-09,1.7751934240594377e-14,44,6070.046875,,
kottenpark09,/iridisfs/scratch/sc9c23/mps/kottenpark09.mps,0,325547,2893026,13085485,off,1,1e-06,5000.0,external-timeout,5000.0,,,,,,,,,,,,,,,,optimal,1103.5347930826247,1075.9907461963594,179.00000076767765,3.615385996278647e-10,9.810605661186855e-10,37,2291.43359375,optimal,3248.6090033445507,3221.2345311529934,178.9910540563674,2.8904745295556575e-07,1.1462311538560108e-10,27,17116.4765625,,
rail03,/iridisfs/scratch/sc9c23/mps/rail03.mps,0,253905,758775,1728451,off,1,1e-06,5000.0,optimal,718.6729567442089,713.8114671390504,-920.2737530384888,1.2042292337656155e-07,1.0456207569308946e-09,1.968519357783205e-08,83,7046,7046,0,276.716013494879,396.51196835003793,generic-sparse,stable-active-column,2730.1796875,True,optimal,475.19293320551515,471.2421680968255,-920.2737376577568,7.012335156986182e-10,5.294225644511712e-11,89,642.23828125,optimal,288.47080039419234,284.5282987244427,-920.2738514105476,1.960538875288855e-07,2.4299668485551805e-13,92,936.0078125,0.6612088694115792,0.40139370444805156
rail2536,/iridisfs/scratch/sc9c23/mps/rail2536.gz,0,2536,1081841,10993311,off,1,1e-06,5000.0,time-limit,5003.531512821093,4999.3985145594925,688.398824876131,0.0204473411554556,6.299577156217614e-10,2.3679820442661165e-09,147,158338,158338,108,45.677612299099565,4835.951147634536,generic-sparse,stable-active-column,8749.29296875,True,optimal,309.1939806006849,303.7059269286692,688.3992243635515,8.66190452697424e-12,1.326442659414321e-10,119,1179.90234375,optimal,178.86182440258563,173.5304989553988,688.3998281009862,1.3466201265188715e-08,1.7361445614483273e-11,65,2119.7578125,,
rail2586,/iridisfs/scratch/sc9c23/mps/rail2586.gz,0,2586,920683,8008776,off,1,1e-06,5000.0,time-limit,5003.193702017888,4999.809176225215,935.9210905996719,0.017173523832204107,3.268725060600264e-10,3.170662003540871e-08,186,211853,211853,155,35.6658694203943,4848.093036821112,generic-sparse,stable-active-column,3022.01953125,True,optimal,293.1443330012262,288.7933142744005,935.9218676380086,5.551115123125783e-17,7.761021455128987e-11,137,997.24609375,optimal,109.74907046929002,105.41082237288356,935.922013472304,1.842084484948714e-09,1.0164467415899973e-10,72,1660.515625,,
rail4284,/iridisfs/scratch/sc9c23/mps/rail4284.gz,0,4284,1092610,11279748,off,1,1e-06,5000.0,time-limit,5003.594361348078,4999.285401005298,1054.054118237027,0.007353895528157017,1.2007224844031346e-09,4.5362639433058195e-08,142,131623,131623,84,208.6730056963861,4674.701751379296,generic-sparse,stable-active-column,7800.6875,True,optimal,394.4832010958344,388.9669697806239,1054.0544952551718,0.0,3.8000565657133244e-11,125,1171.62890625,optimal,215.97823280096054,210.49946858920157,1054.0545829448206,5.975666905744248e-09,6.836753385641714e-13,38,2159.5625,,
rail4872,/iridisfs/scratch/sc9c23/mps/rail4872.gz,0,4872,968672,9244093,off,1,1e-06,5000.0,time-limit,5003.426601083949,4999.682360503823,1509.6385430627624,0.013429673096909012,3.122988534114144e-10,9.155019328138503e-09,180,169121,169121,108,115.39263095147908,4760.493273217231,generic-sparse,stable-active-column,5155.234375,True,optimal,440.4983153901994,435.70883760228753,1509.639405189863,7.624623155066956e-12,5.820766091346741e-11,154,1073.828125,optimal,147.42871835641563,142.690858123824,1509.639447318949,8.352309954773318e-10,7.92096314465122e-10,56,1832.265625,,
rail507,/iridisfs/scratch/sc9c23/mps/rail507.gz,0,507,63009,409349,off,1,1e-06,5000.0,optimal,3.9719447158277035,3.741210049018264,172.14556865207842,7.955525127556484e-11,9.356606796989287e-12,1.0518733612125226e-08,49,0,0,0,1.7197896521538496,0.2424033246934414,generic-sparse,stable-active-column,153.46484375,True,optimal,3.7156032640486956,3.440454252064228,172.14556687024591,3.6630698474482415e-12,4.850638409455617e-12,58,107.4609375,optimal,3.528614254668355,3.2499969135969877,172.1455698470429,1.353644418777833e-10,3.508054957634954e-11,38,150.74609375,0.9354619789249535,0.8883845338046292
rail516,/iridisfs/scratch/sc9c23/mps/rail516.gz,0,516,47311,314896,off,1,1e-06,5000.0,optimal,2.7030642963945866,2.528601875528693,182.0000006536393,3.3331565285621423e-10,4.270031642977391e-12,3.5643932103580856e-09,43,0,0,0,1.2103645149618387,0.1515589915215969,generic-sparse,stable-active-column,129.40234375,True,optimal,2.3230028580874205,2.1131856720894575,182.00000021413476,2.2024765344852426e-10,5.67527506471303e-12,50,93.578125,optimal,2.566205035895109,2.3594397231936455,182.0000053405128,1.1152289980387309e-08,1.7525642878001566e-11,33,126.49609375,0.8593960791779532,0.94936884754017
rail582,/iridisfs/scratch/sc9c23/mps/rail582.gz,0,582,55515,401708,off,1,1e-06,5000.0,optimal,4.737336065620184,4.526757324114442,209.7122869509045,1.7402779217690068e-10,2.478390778625916e-10,2.3344422416026284e-07,58,0,0,0,2.3909633979201317,0.29214074090123177,generic-sparse,stable-active-column,149.00390625,True,optimal,3.7933195531368256,3.5421161502599716,209.71223298599043,1.6026513449673985e-11,2.4253192047278085e-12,62,102.14453125,optimal,3.269848359748721,3.019094420596957,209.712245350801,6.984349210092944e-10,1.8513339009966028e-11,38,142.64453125,0.8007284052878834,0.6902293429167247
s100,/iridisfs/scratch/sc9c23/mps/s100.mps,0,14733,364417,1777917,off,1,1e-06,5000.0,optimal,505.61355070769787,501.122488072142,-0.171096737815836,6.4058493219671175e-12,7.61985869167526e-10,1.5729713545332263e-08,173,76748,76748,5,45.81731938570738,421.69511907733977,generic-sparse,stable-active-column,774.953125,True,postsolve-inaccurate,92.98575510270894,89.00727581232786,-0.17109669332438526,1.462064086461823e-13,1.0886833094549083e-06,75,327.14453125,HighsModelStatus.kSolveError,374.13027765601873,370.15516448020935,0.0,nan,nan,-1,581.98046875,,
s250r10,/iridisfs/scratch/sc9c23/mps/s250r10.mps,0,10962,273142,1318607,off,1,1e-06,5000.0,optimal,99.79019876383245,96.48651479743421,-0.17267698655980596,9.45930861638024e-13,1.2804207465672807e-09,7.630325861242978e-09,125,11747,11747,0,28.884761469438672,50.15133625268936,generic-sparse,stable-active-column,626.4375,True,optimal,80.28963397815824,77.44087203219533,-0.17267703049361965,2.4787885499257912e-14,3.3071661780549805e-09,96,273.58203125,unknown,43.595996895805,40.78037858568132,-0.17266997015478047,1.7153995348948992e-10,4.7414842954535405e-08,70,470.51171875,0.8045843677310931,
s82,/iridisfs/scratch/sc9c23/mps/s82.mps,0,87878,1690631,7022608,off,1,1e-06,5000.0,time-limit,5005.2476096805185,4985.2399583384395,-34.56746465795077,3.266242346035142e-08,4.8541176404303574e-05,1.4254599651655364e-06,275,152066,152066,5,261.83475797250867,4443.150861699134,generic-sparse,stable-active-column,3077.7578125,True,postsolve-inaccurate,1872.9897928126156,1855.308703955263,-34.57970959686547,1.1481461115181445e-13,7.361191021072223e-06,160,1269.265625,unknown,704.0736117679626,686.9928506817669,-34.578457425716934,1.579289277131579e-14,3.268797577147403e-08,109,2468.24609375,,
scpj4scip,/iridisfs/scratch/sc9c23/mps/scpj4scip.mps.gz,0,1000,99947,999893,off,1,1e-06,5000.0,optimal,15.432580299675465,14.022226549685001,104.08383383813215,0.0,2.69316802082853e-12,3.655067010551373e-07,29,0,0,0,11.378835087642074,0.41417770832777023,generic-sparse,stable-active-column,284.91796875,True,optimal,4.18174864910543,2.6774775497615337,104.08379570048288,7.049916206369744e-15,1.407015318336832e-16,28,173.3671875,optimal,10.247229479253292,8.742755476385355,104.08380103882052,0.0,6.669252608916584e-14,33,252.55859375,0.27096885730724946,0.6639997511931808
